product,mode,prediction_mode,prediction_scope,carbon_source,temperature_c,oxygen,stressor,dose,refused,refusal_reason,growth_rate_per_h,content_mg_per_gdcw
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.05,NaCl,0.4,SetpointUnreachable,"context (galactose, 25 C, O2 0.05, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.124 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.05,H2O2,0.5,SetpointUnreachable,"context (galactose, 25 C, O2 0.05, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.109 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.01,,0.0,SetpointUnreachable,"context (galactose, 25 C, O2 0.01, exponential) leaves a maximum growth rate of 0.102 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.01,DTT,1.0,SetpointUnreachable,"context (galactose, 25 C, O2 0.01, exponential) with DTT at 1 leaves a maximum growth rate of 0.076 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.01,NaCl,0.4,SetpointUnreachable,"context (galactose, 25 C, O2 0.01, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.098 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,25.0,0.01,H2O2,0.5,SetpointUnreachable,"context (galactose, 25 C, O2 0.01, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.086 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.21,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.21,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.21,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.21,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.05,,0.0,SetpointUnreachable,"context (galactose, 30 C, O2 0.05, exponential) leaves a maximum growth rate of 0.152 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.05,DTT,1.0,SetpointUnreachable,"context (galactose, 30 C, O2 0.05, exponential) with DTT at 1 leaves a maximum growth rate of 0.114 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.05,NaCl,0.4,SetpointUnreachable,"context (galactose, 30 C, O2 0.05, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.147 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.05,H2O2,0.5,SetpointUnreachable,"context (galactose, 30 C, O2 0.05, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.129 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.01,,0.0,SetpointUnreachable,"context (galactose, 30 C, O2 0.01, exponential) leaves a maximum growth rate of 0.120 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.01,DTT,1.0,SetpointUnreachable,"context (galactose, 30 C, O2 0.01, exponential) with DTT at 1 leaves a maximum growth rate of 0.090 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.01,NaCl,0.4,SetpointUnreachable,"context (galactose, 30 C, O2 0.01, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.116 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,30.0,0.01,H2O2,0.5,SetpointUnreachable,"context (galactose, 30 C, O2 0.01, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.102 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.21,,0.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.21,DTT,1.0,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.21,NaCl,0.4,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.21,H2O2,0.5,,,0.18,1.070987884
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.05,,0.0,SetpointUnreachable,"context (galactose, 37 C, O2 0.05, exponential) leaves a maximum growth rate of 0.139 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.05,DTT,1.0,SetpointUnreachable,"context (galactose, 37 C, O2 0.05, exponential) with DTT at 1 leaves a maximum growth rate of 0.104 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.05,NaCl,0.4,SetpointUnreachable,"context (galactose, 37 C, O2 0.05, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.134 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.05,H2O2,0.5,SetpointUnreachable,"context (galactose, 37 C, O2 0.05, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.118 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.01,,0.0,SetpointUnreachable,"context (galactose, 37 C, O2 0.01, exponential) leaves a maximum growth rate of 0.110 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.01,DTT,1.0,SetpointUnreachable,"context (galactose, 37 C, O2 0.01, exponential) with DTT at 1 leaves a maximum growth rate of 0.082 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.01,NaCl,0.4,SetpointUnreachable,"context (galactose, 37 C, O2 0.01, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.106 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",galactose,37.0,0.01,H2O2,0.5,SetpointUnreachable,"context (galactose, 37 C, O2 0.01, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.093 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.21,,0.0,SetpointUnreachable,"context (ethanol, 25 C, O2 0.21, exponential) leaves a maximum growth rate of 0.119 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.21,DTT,1.0,SetpointUnreachable,"context (ethanol, 25 C, O2 0.21, exponential) with DTT at 1 leaves a maximum growth rate of 0.089 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.21,NaCl,0.4,SetpointUnreachable,"context (ethanol, 25 C, O2 0.21, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.114 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.21,H2O2,0.5,SetpointUnreachable,"context (ethanol, 25 C, O2 0.21, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.101 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.05,,0.0,SetpointUnreachable,"context (ethanol, 25 C, O2 0.05, exponential) leaves a maximum growth rate of 0.028 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.05,DTT,1.0,SetpointUnreachable,"context (ethanol, 25 C, O2 0.05, exponential) with DTT at 1 leaves a maximum growth rate of 0.021 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.05,NaCl,0.4,SetpointUnreachable,"context (ethanol, 25 C, O2 0.05, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.027 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.05,H2O2,0.5,SetpointUnreachable,"context (ethanol, 25 C, O2 0.05, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.024 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.01,,0.0,SetpointUnreachable,"context (ethanol, 25 C, O2 0.01, exponential) leaves a maximum growth rate of 0.006 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.01,DTT,1.0,SetpointUnreachable,"context (ethanol, 25 C, O2 0.01, exponential) with DTT at 1 leaves a maximum growth rate of 0.004 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.01,NaCl,0.4,SetpointUnreachable,"context (ethanol, 25 C, O2 0.01, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.005 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,25.0,0.01,H2O2,0.5,SetpointUnreachable,"context (ethanol, 25 C, O2 0.01, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.005 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,30.0,0.21,,0.0,SetpointUnreachable,"context (ethanol, 30 C, O2 0.21, exponential) leaves a maximum growth rate of 0.140 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,30.0,0.21,DTT,1.0,SetpointUnreachable,"context (ethanol, 30 C, O2 0.21, exponential) with DTT at 1 leaves a maximum growth rate of 0.105 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,30.0,0.21,NaCl,0.4,SetpointUnreachable,"context (ethanol, 30 C, O2 0.21, exponential) with NaCl at 0.4 leaves a maximum growth rate of 0.135 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,30.0,0.21,H2O2,0.5,SetpointUnreachable,"context (ethanol, 30 C, O2 0.21, exponential) with H2O2 at 0.5 leaves a maximum growth rate of 0.119 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
beta_carotene,held,empirical,"fixed-gene comparison, not environment validation",ethanol,30.0,0.05,,0.0,SetpointUnreachable,"context (ethanol, 30 C, O2 0.05, exponential) leaves a maximum growth rate of 0.033 /h, at or below the setpoint 0.18 /h. An exponential feed sets mu through the negative feedback d(ln q_S)/dt = mu_set - mu(q_S), which has no fixed point once the strain cannot reach the setpoint: the culture grows at its own maximum and the carbon it cannot take up accumulates. There is no held steady state to report, and a reduced product rate here would describe a vessel filling with unconsumed substrate",,
