product,precursor,effector,flux_mmol_per_gdcw_h,growth_rate_per_h,precursor_supply,relative_change,clears_22pct_floor,conditions
gadusol,s_1427,glutathione,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,trehalose,0.25,0.18,2.690376,-0.0673,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,trehalose,0.5,0.18,2.496186,-0.1346,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,trehalose,1.0,0.18,2.107807,-0.2693,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,trehalose,2.0,0.18,1.331048,-0.5386,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,trehalose,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glycerol,0.25,0.18,2.828453,-0.0195,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glycerol,0.5,0.18,2.77234,-0.0389,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glycerol,1.0,0.18,2.660113,-0.0778,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glycerol,2.0,0.18,2.435661,-0.1556,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glycerol,5.0,0.18,1.762305,-0.3891,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glutathione,0.25,0.18,2.657415,-0.0787,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glutathione,0.5,0.18,2.422849,-0.1601,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glutathione,1.0,0.18,1.953717,-0.3227,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glutathione,2.0,0.18,1.015453,-0.648,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
glycogen,s_1543,glutathione,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,trehalose,0.25,0.18,0.594548,-0.0671,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,trehalose,0.5,0.18,0.551751,-0.1343,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,trehalose,1.0,0.18,0.466157,-0.2686,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,trehalose,2.0,0.18,0.294969,-0.5372,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,trehalose,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glycerol,0.25,0.18,0.624978,-0.0194,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glycerol,0.5,0.18,0.612612,-0.0388,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glycerol,1.0,0.18,0.587879,-0.0776,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glycerol,2.0,0.18,0.538412,-0.1552,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glycerol,5.0,0.18,0.390013,-0.3881,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glutathione,0.25,0.18,0.585997,-0.0806,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glutathione,0.5,0.18,0.534649,-0.1611,False,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glutathione,1.0,0.18,0.431953,-0.3223,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glutathione,2.0,0.18,0.225045,-0.6469,True,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
phb,s_0373,glutathione,5.0,0.18,,,,"glucose -10, oxygen -1000 mmol/gDCW/h, mu held"
