construct,dose_mM,stressor,measurement,n_plates,n_plates_contributing,n_wells,fold,plates_above_one,plates_below_one,plates_tied_one,n_plates_sign,p_exact_sign,exact_sign_floor,p_value_method,low,high,estimable,clears,confidence,interval_method,resampling,n_resamples,target,coverage_status,assumptions,fw_low,fw_high,family_wise_resolvable,clears_family_wise,family_alpha,family_wise_method,fw_n_resamples,family_size,p_holm,p_bh,n_doses,n_informative_plates,statistic,p_permutation,n_permutations
AlteredYap1,0.2,H2O2,per_dose_fold,4,4.0,24.0,1.0713028063866992,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9886361953288371,1.173916710975699,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.8657817177988875,1.455880177265985,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE2,0.1,DTT,per_dose_fold,4,4.0,24.0,1.0673621482596103,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9848948991012488,1.1543585941171763,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.8423219081977722,1.3755575109342204,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
UPRE2,5.0,DTT,per_dose_fold,4,4.0,24.0,1.063067915069896,3.0,1.0,0.0,4.0,0.625,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9341918270298142,1.2328871108623118,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.7409062315349518,1.6797587555256603,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.8823529411764707,,,,,
UPRE1,2.0,DTT,per_dose_fold,4,4.0,24.0,1.0587017365450464,3.0,1.0,0.0,4.0,0.625,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9232983130665471,1.2129794468779311,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.7091544590339003,1.569669486450223,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.8823529411764707,,,,,
UPRE1,0.1,DTT,per_dose_fold,4,4.0,24.0,1.0493438507858743,4.0,0.0,0.0,4.0,0.125,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9867342523776553,1.1225294856173516,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.8697313365119406,1.2943553937462502,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.25,,,,,
NativeYap1,0.2,H2O2,per_dose_fold,4,4.0,24.0,1.0300369510845802,2.0,2.0,0.0,4.0,1.0,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.8015021655608018,1.2711245082838178,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.4405802630786066,1.7874410830474718,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,1.0,,,,,
AlteredYap1,0.1,H2O2,per_dose_fold,4,4.0,24.0,1.0149848707343778,2.0,2.0,0.0,4.0,1.0,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.9388816555715881,1.1048138288981728,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.8100424723801348,1.3004904031163647,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,1.0,,,,,
AlteredYap1,1.0,H2O2,per_dose_fold,4,4.0,24.0,1.0010337765500255,3.0,1.0,0.0,4.0,0.625,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,,,False,False,0.95,refused: 141 of 4000 bootstrap ratios are non-positive or undefined; discarding them exceeds the interval tail budget,two_stage,3859.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,,,False,False,0.0020833333333333333,refused: 141 of 4000 bootstrap ratios are non-positive or undefined; discarding them exceeds the interval tail budget,3859.0,24,1.0,0.8823529411764707,,,,,
UPRE1,5.0,DTT,per_dose_fold,4,4.0,24.0,0.9342106077052285,2.0,2.0,0.0,4.0,1.0,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.7951263457334871,1.0903106513571765,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.6058705731957367,1.444374363020211,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,1.0,,,,,
NativeYap1,0.1,H2O2,per_dose_fold,4,4.0,24.0,0.9180673472465278,1.0,3.0,0.0,4.0,0.625,0.125,two-sided exact sign test of median usable plate fold = 1; ties excluded,0.7361073136104104,1.07836864745675,True,False,0.95,"two_stage cluster bootstrap on log ratio, approximately t-inflated x1.62 at 4 contributing plate(s); wells resampled within plate; nominal 95.0%, coverage not guaranteed",two_stage,4000.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,0.3902760243811941,1.4049675707320435,True,False,0.0020833333333333333,"two_stage cluster bootstrap on log ratio, approximately t-inflated x3.27 at 4 contributing plate(s); wells resampled within plate; nominal 99.8%, coverage not guaranteed",4000.0,24,1.0,0.8823529411764707,,,,,
NativeYap1,2.0,H2O2,per_dose_fold,4,1.0,24.0,0.00898411035109897,0.0,1.0,0.0,1.0,1.0,1.0,two-sided exact sign test of median usable plate fold = 1; ties excluded,,,False,False,0.95,"refused: 1 of 4 biological replicate(s) produced a usable fold, 3 needed for a cluster bootstrap",two_stage,0.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,,,False,False,0.0020833333333333333,"refused: 1 of 4 biological replicate(s) produced a usable fold, 3 needed for a cluster bootstrap",0.0,24,1.0,1.0,,,,,
AlteredYap1,2.0,H2O2,per_dose_fold,4,0.0,24.0,,0.0,0.0,0.0,0.0,,,two-sided exact sign test of median usable plate fold = 1; ties excluded,,,False,False,0.95,"refused: no positive per-plate fold, so the geometric mean does not exist. A finite positive dose mean and a finite positive control mean are required; this is not evidence of induction or repression",two_stage,0.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,,,False,False,0.0020833333333333333,"refused: no positive per-plate fold, so the geometric mean does not exist. A finite positive dose mean and a finite positive control mean are required; this is not evidence of induction or repression",0.0,24,,,,,,,
AlteredYap1,4.0,H2O2,per_dose_fold,4,0.0,24.0,,0.0,0.0,0.0,0.0,,,two-sided exact sign test of median usable plate fold = 1; ties excluded,,,False,False,0.95,"refused: no positive per-plate fold, so the geometric mean does not exist. A finite positive dose mean and a finite positive control mean are required; this is not evidence of induction or repression",two_stage,0.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,,,False,False,0.0020833333333333333,"refused: no positive per-plate fold, so the geometric mean does not exist. A finite positive dose mean and a finite positive control mean are required; this is not evidence of induction or repression",0.0,24,,,,,,,
NativeYap1,4.0,H2O2,per_dose_fold,4,0.0,24.0,,0.0,0.0,0.0,0.0,,,two-sided exact sign test of median usable plate fold = 1; ties excluded,,,False,False,0.95,"refused: no positive per-plate fold, so the geometric mean does not exist. A finite positive dose mean and a finite positive control mean are required; this is not evidence of induction or repression",two_stage,0.0,geometric mean of positive within-plate dose/control activity ratios,"nominal, approximate; actual coverage requires repeated independent experiments",independent exchangeable biological plates; exchangeable wells within each plate and dose; dose and control wells unpaired; positive per-plate ratios; exclusions condition the estimand on usable plates; t-inflated percentile bootstrap is approximate and can double-count within-plate sampling variation,,,False,False,0.0020833333333333333,"refused: no positive per-plate fold, so the geometric mean does not exist. A finite positive dose mean and a finite positive control mean are required; this is not evidence of induction or repression",0.0,24,,,,,,,
AlteredYap1,,H2O2,dose_response_permutation,4,,,,,,,,,,two-sided within-plate dose-label permutation; plus-one Monte Carlo p-value,,,True,False,,,,,,,dose assignments exchangeable within each plate under the null; cutoff prespecified,,,False,False,,,,4,0.000999950002499875,0.000999950002499875,5.0,4.0,0.43370805684403485,0.000999950002499875,20000.0
NativeYap1,,H2O2,dose_response_permutation,4,,,,,,,,,,two-sided within-plate dose-label permutation; plus-one Monte Carlo p-value,,,True,False,,,,,,,dose assignments exchangeable within each plate under the null; cutoff prespecified,,,False,False,,,,4,0.0004999750012499375,0.0003333166674999583,5.0,4.0,0.46916846400738366,0.00024998750062496874,20000.0
UPRE1,,DTT,dose_response_permutation,4,,,,,,,,,,two-sided within-plate dose-label permutation; plus-one Monte Carlo p-value,,,True,False,,,,,,,dose assignments exchangeable within each plate under the null; cutoff prespecified,,,False,False,,,,4,0.000199990000499975,9.99950002499875e-05,5.0,4.0,0.946520098898617,4.999750012499375e-05,20000.0
UPRE2,,DTT,dose_response_permutation,4,,,,,,,,,,two-sided within-plate dose-label permutation; plus-one Monte Carlo p-value,,,True,False,,,,,,,dose assignments exchangeable within each plate under the null; cutoff prespecified,,,False,False,,,,4,0.000199990000499975,9.99950002499875e-05,5.0,4.0,0.916515138991168,4.999750012499375e-05,20000.0
