condition_id,growth_rate_per_h,evidence_scope,evidence_id,source_column,unit,primary_printed_token,reported_value,value,observation_status,detection_limit,rounding_half_width,rounding_is_confidence_interval,band_status,source_doi,source_table_sha256,source_table_relative_path,source_line,band_lower,band_upper,minimum_rank,maximum_rank,n_incomparable_pairs,incomparable_with,context,calibration_family,assumptions,result_kind,details_file
vanHoek1998:D=0.025,0.025,native_development_training,vanHoek1998:D=0.025:O2uptake,O2uptake,mmol/gDW/h,0.8,0.8,0.8,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,2,0.75,0.85,1,1,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.05,0.05,native_development_training,vanHoek1998:D=0.05:O2uptake,O2uptake,mmol/gDW/h,1.3,1.3,1.3,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,3,1.25,1.35,2,2,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.1,0.1,native_development_training,vanHoek1998:D=0.1:O2uptake,O2uptake,mmol/gDW/h,2.5,2.5,2.5,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,4,2.45,2.55,3,3,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.15,0.15,native_development_interpolation,vanHoek1998:D=0.15:O2uptake,O2uptake,mmol/gDW/h,3.9,3.9,3.9,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,5,3.85,3.95,5,5,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.2,0.2,native_development_training,vanHoek1998:D=0.2:O2uptake,O2uptake,mmol/gDW/h,5.3,5.3,5.3,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,6,5.25,5.35,7,7,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.25,0.25,native_development_training,vanHoek1998:D=0.25:O2uptake,O2uptake,mmol/gDW/h,7.0,7.0,7.0,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,7,6.95,7.05,9,9,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.28,0.28,native_development_interpolation,vanHoek1998:D=0.28:O2uptake,O2uptake,mmol/gDW/h,7.4,7.4,7.4,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,8,7.35,7.45,10,10,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.3,0.3,native_development_training,vanHoek1998:D=0.3:O2uptake,O2uptake,mmol/gDW/h,6.1,6.1,6.1,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,9,6.05,6.15,8,8,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.35,0.35,native_development_interpolation,vanHoek1998:D=0.35:O2uptake,O2uptake,mmol/gDW/h,5.1,5.1,5.1,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,10,5.05,5.15,6,6,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
vanHoek1998:D=0.4,0.4,native_development_training,vanHoek1998:D=0.4:O2uptake,O2uptake,mmol/gDW/h,3.7,3.7,3.7,quantified,,0.05,False,explicit_nearest_rounding,10.1128/AEM.64.11.4226-4233.1998,4c01b3465ea1410c86709568da44a32b1de652c21a88de623bbf566838506117,data/physiology/chemostatData_VanHoek1998.tsv,11,3.65,3.75,4,4,0,[],"{""comparison_axis"": ""reported steady-state growth_rate_per_h conditions"", ""cultivation"": ""aerobic glucose-limited chemostat"", ""medium"": ""defined mineral medium"", ""organism"": ""Saccharomyces cerevisiae"", ""ph"": 5.0, ""source_doi"": ""10.1128/AEM.64.11.4226-4233.1998"", ""strain"": ""DS28911"", ""table"": ""Table 1"", ""temperature_c"": 30.0}",10.1128/AEM.64.11.4226-4233.1998:Table 1:O2uptake:published_coordinate,"Nearest rounding only; not a CI. Strictly disjoint explicit bands only; same evidence as bounds, not independent support. Ranks are not magnitudes.","source/rank audit, not a sampled or LP result; certificates/proposals/failures in details_file",native_order_robustness.json
