pmid	reference	journal	strain	carbon_source	mode	hours	content_mg_per_gdcw	titre_mg_per_l	biomass_g_per_l	bioreactor	measurand	dfba_ready	titre_as_reported	notes	copies_crtE	copies_crtYB	copies_crtI	promoter	integration	copy_evidence
25475893	Xie 2015	Metab Eng 28:8	sequential glucose-regulated control of the FPP downstream / upstream / competitive branches	glucose	high-cell-density fermentation		20.79	1156		yes	total_carotenoid	no	1156 mg/L (20.79 mg/g DCW) carotenoid	Xie 2015 -- 'carotenoid', not disambiguated.						
27423881	Olson 2016	J Ind Microbiol Biotechnol 43:1355	SM14, evolved from the Reyes 2014 lineage; PTDH3-crtYB/crtI/crtE, dCTT1	YNB, C:N 8.8 -> 50	bench-top bioreactor		25.52			yes	total_carotenoid	no	25.52 +/- 2.15 mg/g DCW; parental 5.68 -> 22.58 mg/g dcw	PDF READ: DOWNGRADED. Paper's own words: 'even though both strains accumulate a range of carotenoids, only absorbance at OD454 was used'. Beta-carotene EQUIVALENTS, an upper bound.						
30138874	Yamada 2018	Bioresour Technol 268:616	YPH499; cocktail delta-integration	not stated	96 h; culture geometry NOT STATED (paywalled)	96		52.3		no	unverified	no	52.3 mg/L	UNRESOLVED, paywalled (Bioresour Technol). SECOND-HAND ASSAY EVIDENCE 2026-09-09: Yamada 2022 (Eng Life Sci 22:4, PMC8727735) is the same lab and the same strain YPH499/Mo3Crt79, quantifies by 'colorimetry [8]' with 'beta-Carotene dissolved in hexane ... used as the standard', and its reference [8] IS THIS PAPER. That points hard at a total-carotenoid absorbance sum -- but the sentence is in the 2022 paper, not this one, so measurand stays 'unverified' rather than being set from a citation. Promoting it would be exactly the Yamano-1994 mistake.						
30723675	Rabeharindranto 2019	Metab Eng Commun 8:e00086	BY4741; bidomain and tridomain CrtYB–CrtB–CrtI fusions, integrative pMRI, GAL1-GAL10	20 g/L galactose, YPG	50 mL YPG in flasks (FLASK SIZE NOT STATED), 28 °C, 140 rpm, 72 h, INFORS HT 50 mm throw, inoculated at OD600 0.05	72				no	beta_carotene	no	"""two times more beta-carotene"" than the natural configuration; absolute values in a figure only — UNVERIFIED"	FULL TEXT READ 2026-09-09 (PMC6350077). ASSAY IS SPECIFIC, upgraded unverified -> beta_carotene: Waters alliance HPLC, 996 PDA detector recording 200-600 nm, 'Peaks areas were used to calculate quantity based on a calibration curve performed with phytoene, lycopene and beta-carotene standards solutions', apocarotenal internal standard, per-species quantification. CONTENT STILL UNRESOLVED: no absolute beta-carotene number appears anywhere in the text -- 'The full quantification of carotenoids from all strains ... is presented in the Supplementary Table S3' and in Figs 5-7; the prose gives only 'two times more beta-carotene'. dfba_ready stays no on the MISSING NUMBER, not on the assay. Geometry: '50 ml YPG flasks' does not say whether 50 mL is the working volume or the flask, so the volume-in-flask-size ratio is UNRESOLVED.						
31380362	López 2019	Front Bioeng Biotechnol 7:171	SM14 and βcar1.2 (integrated cassettes incl. tHMG1)	20 g/L glucose	50 mL in 250 mL baffled flask, 72 h; and 1-L fed-batch, 77–8	72	21	159.6		yes	total_carotenoid	no	flask 21 mg/gDCW (SM14, 159.6 mg/L), 5.8 mg/gDCW (βcar1.2); fed-batch 210 mg/L at 32.3 gDCW/L (6.48 mg/gDCW) and 750 mg/L at 107.1 gDCW/L (6.91 mg/gDCW). States 1 OD600 =	PDF READ: CONFIRMED total. 'absorbance at 453 nm of the hexane extracts ... standard curve of beta-carotene'. Absorbance, not separation.						
32236768	Su 2020	J Ind Microbiol Biotechnol 47:383	growth-phase-dependent control of the pathway, MVA step, squalene branch	not stated	5-L bioreactor, one-stage					yes	other	no	0.034 -> 33.1 mg/g CDW and 1.48 g/L — lycopene, not beta-carotene	AUDIT: LYCOPENE paper, not beta-carotene. 33.1 mg/g and 1.48 g/L are lycopene.						
32272391	Cheng 2020	Bioresour Technol 308:123275	SR8B, engineered for xylose use and beta-carotene	sorghum xylose hydrolysate, 17.4 / 32 / 66 g/L xylose	5 mL in a 14 mL culture tube, 30 °C, 300 rpm, inoculated at OD600 5; DURATION NOT STATED (harvested 'at the end of fermentation')		7.32	114.50	15.64	no	total_carotenoid	no	82.50 / 93.56 / 114.50 mg/L; 8.29 / 8.10 / 7.32 mg/g DCW	FULL TEXT READ 2026-09-09 (OSTI accepted manuscript 1616272). DOWNGRADED unverified -> total_carotenoid: 'The beta-carotene was extracted using acetone and quantified by measuring the absorbance at 453 nm (ABS453) with a spectrophotometer as described previously (Yuan et al., 2006)'. That is the SAME 453 nm sum on which Lopez 2019's 21 mg/gDCW was rejected -- it cannot refute a beta-carotene claim, and this row can never be dfba_ready on this assay. The 7.32 mg/gDCW / 114.50 mg/L pair is HCB sorghum hydrolysate at 15.64 gDCW/L (114.50/15.64 = 7.32, consistent). DCW is not gravimetric either: 'calculated from OD600 using the predetermined conversion factor of 0.41'. NOT a flask: 5 mL in a 14 mL tube.						
33062054	Bu 2020	Biotechnol Biofuels 13:168	YBX-01 -> YBX-20; Snq2p ABC transporter + ATP supply + membrane fluidity	YPD, 2% glucose	50 mL YPD in a 250 mL flask, 30 °C, 220 rpm, in the dark, 72 h, inoculated at OD600 0.05; NO dodecane overlay in this run	72		67.8		no	beta_carotene	no	67.8 mg/L intracellular, strain YBX-01 in plain YPD (no dodecane, no acetate); the 149.8 + 10.1 mg/L pair is strain YBX-20 with dodecane, 10 g/L acetate and OLE1 -- a different strain and a different feed. No gDCW/L anywhere, so unconvertible	PDF READ: HPLC Agilent 1200 C18, UV/VIS 450 nm, beta-carotene standard in dodecane. 67.8 mg/L intracellular at 72 h in YBX-01; best strain YBX-SNQ2 116.3 mg/L. YPD 2% glucose + 10 g/L acetate. BIOMASS NOT FOUND in the text -- OD600 only, no conversion factor, so content is still not derivable. FULL TEXT READ 2026-09-09 (PMC7548044). ASSAY CONFIRMED SPECIFIC: HPLC Agilent 1200 LC, C18 4.6x150 mm, UV/VIS 450 nm, Sigma beta-carotene standard curve. TWO ROW CORRECTIONS: (a) carbon_source carried '+ 10 g/L acetate' and mode a '10% dodecane overlay', but 67.8 mg/L is YBX-01 in plain YPD with NEITHER -- dodecane raised the same strain to 87.7 mg/L and acetate belongs to the YBX-SNQ2 experiments; (b) titre_as_reported quoted YBX-20's numbers against YBX-01's titre. CASSETTE, from Table 1 genotype: crtI and crtYB one copy each at gal1-10-7 under the divergent PGAL10/PGAL1 pair ('Dgal1-10-7::TADH1-CrtI-PGAL10-PGAL1-CrtYB-TCYC1'), crtE one copy at gal80 under PGAL10 ('Dgal80::TADH1-CrtE-PGAL10'), all genomic in host FY1679-01B. Recorded here rather than in the copies_* columns because the file's population rule keeps those blank on dfba_ready=no rows. CONTENT STILL UNRESOLVED: growth is OD600 only, no DCW and no OD-to-DCW factor anywhere in the paper, so mg/gDCW is not derivable.						
33102463	López 2020	Front Bioeng Biotechnol 8:578793	CEN.PK2; single then multi-copy carotenogenic genes, HMGR1 bottleneck relieved; PhCCD1 for beta-ionone	not stated	shake flask, 72 h	72	32	33		no	total_carotenoid	no	4 -> 16 -> 32 mg/gDCW total carotenoids; 33 mg/L beta-ionone	Lopez 2020 -- 'total carotenoids' in the paper's own words.						
33332529	Fathi 2021	FEMS Yeast Res 21:foaa068	CEN.PK113-7D derivative SC-LIP278beta (ST9754); *Y. lipolytica* LIP2/LIP7/LIP8 lipases + crtE/crtYB/crtI, all integrated. HOST IS *S. cerevisiae*	**1% (v/v) olive oil** in YNB, the sole carbon source for the 46.5 mg/gDCW run	50 mL YNB + 1% (v/v) olive oil (FLASK SIZE NOT STATED), 30 °C, 150 rpm, 72 h	72	46.5	477.9		no	beta_carotene	yes	477.9 mg/L (YPD + oil); highest content 46.5 mg/g DCW (YNB + oil, at only 1.4–1.5 g DCW/L)	AUDIT: 72 h for the carotene runs (Fig 4C); 96 h belongs to a separate lipase experiment. Host is S. cerevisiae. FULL TEXT READ 2026-09-09 (PMC7811509). PROMOTED unverified -> beta_carotene and dfba_ready no -> yes. ASSAY IS SPECIFIC: HPLC (Thermo, Discovery HS F5 150x2.1 mm), 'beta-carotene was detected at a retention time of 7.6 min by measuring absorbance at 450 nm', quantified off a standard curve, 'The beta-carotene standard (C4582-5 mg) was purchased from Sigma-Aldrich'. DCW IS GRAVIMETRIC: 'The tubes with biomass pellets were dried at 60 degC for 96 h and weighed on an analytical scale'. 46.5 mg/gDCW is YNB + 1% olive oil at 72 h; the 477.9 mg/L is the YPD + oil run, a different cultivation. FLASK SIZE NOT STATED -- only '50 mL YNB and MSM media ... incubated at 30 degC and 150 rpm', so the volume-in-flask-size ratio is UNRESOLVED and this row cannot settle an aeration question.	1	1	1	PGK1p (crtYB and crtE); TDH3p (crtI)	genomic, EasyClone-MarkerFree single-copy: crtYB at X-3, crtI at XI-2, crtE at XII-2	NUMBER by construction, Table 1: 'pCfB9667 Constructed for expression of crtYB using pCfB3034 and BioBricks BB0009 and BB01567', 'pCfB9668 ... crtI using pCfB2903 and BioBricks BB0410 and BB1568', 'pCfB9669 ... crtE using pCfB3039 and BioBricks BB0009 and BB01569' -- one integrative EasyClone-MarkerFree vector per gene at a named locus, 'The correct integration was confirmed by colony-PCR using integration site-specific primers'. BB0009 = PPGK1, BB0410 = PTDH3 (Table 3). Colony-PCR, not Southern-confirmed, so the dosage is by construction rather than by measurement.
33605428	Zhao 2021	Biotechnol Bioeng 118:2043	ARE1/ARE2 overexpression; PAH1/DPP1/LPP1 deletion	not stated	not stated					no	unverified	no	fold changes only (1.5x, 2x, 2.4x); no absolute titre in the abstract							
33616900	Sun 2020	Biotechnol Bioeng 117:3522	xylose-fermenting host; crtYB, crtI, crtE, no tHMG1	**xylose**, 40 g/L batch; fed-batch from 87.1 g/L	fed-batch, 3 L fermenter with 1 L Verduyn medium, 30 °C, pH 5.5, 2 vvm, 500-800 rpm		11.4	772.8	68.0	yes	total_carotenoid	no	772.8 mg/L at 68.0 gDCW/L (specific content 11.4 mg/gDCW), 5.4 mg/L/h, xylose fed-batch	FULL TEXT READ 2026-09-09 (OSTI accepted manuscript 1651205). DOWNGRADED unverified -> total_carotenoid: 'beta-carotene was extracted using acetone and quantified by measuring the absorbance at 453 nm (OD453) with spectrophotometer as described previously (Yuan ... 2006)' against a Sigma C4582 standard curve -- the Yuan 2006 sum again. The C30 HPLC with photodiode array in this paper is used ONLY for 'Identification of Carotenoids Composition' ('standards were used for the identification'), NOT for the 772.8 mg/L number. NEW NUMBERS: specific content 11.4 mg/gDCW at 68.0 gDCW/L. DCW is OD600 x 0.41, with the factor calibrated gravimetrically. Batch flasks in the same paper are 50 mL Verduyn in 250 mL BAFFLED flasks at 30 C / 300 rpm, but THIS row's number is the bioreactor, so bioreactor=yes is correct.						
34983533	Bu 2022	Microb Cell Fact 21:3	FY1679-01B derivative YBX-41; lipid-droplet TAG metabolism + IZH1p-driven ERG9 downregulation + a second constitutive carotenogenic pathway	YPD, 2% glucose; 2 mM oleic acid added at 12 h	50 mL YPD in a 250 mL flask, 30 °C, 220 rpm, 72 h, inoculated at OD600 0.05	72	11.4	142		no	beta_carotene	yes	11.4 mg/g DCW and 142 mg/L	FULL TEXT READ 2026-09-09 (PMC8725481). PROMOTED unverified -> beta_carotene and dfba_ready no -> yes. ASSAY IS SPECIFIC: hot HCl-acetone extraction then 'HPLC system (Agilent 1200 LC) equipped with a C18 column (4.6 mm x 150 mm) and the UV/VIS signals were detected at 450 nm', Sigma beta-carotene standard. BIOMASS IS REAL: 'Cell growth was determined by the absorbance of OD600 and dry cell weight (DCW)' and every content in the paper is printed in mg/g DCW. 11.4 mg/gDCW and 142 mg/L are YBX-41 at 72 h with 2 mM oleic acid added at 12 h ('Thus, 2 mM OA was chosen in the following work'). Table 1 prints 11.42 +/- 0.21 and 142 +/- 1.73; 11.4 is the running text's rounding. PAPER-INTERNAL DISCREPANCY, left unresolved: the text says YBX-01-IZH1 reached '102 mg/L' while Table 1 prints 125 +/- 2.96 for the same strain -- it does not touch YBX-41's own numbers.	2	2	2	PGAL1/PGAL10 divergent pair on the inducible copy; PYK1p and PTPI1p on the constitutive copy	genomic throughout; inducible set at gal1-10-7 (crtI, crtYB) and gal80 (crtE), constitutive set at dpp1 (crtYB, crtI) and lpp1 (crtE)	NUMBER: Table 2 prints YBX-41 = 'YBX-01-IZH1, Ddpp1::TADH1-CrtYB-PPYK1-PTPI1-CrtI-TCYC1, Dlpp1::PTPI1-CrtE-TCYC1', layered on YBX-01 = 'Dgal1-10-7::TADH1-CrtI-PGAL10-PGAL1-CrtYB-TCYC1, Dgal80::TADH1-CrtE-PGAL10' (Bu 2020 Table 1, PMC7548044, same lab and same parent). Two genomic copies of each gene, countable from the two printed genotypes. Not Southern-confirmed.
35024023	Yamada 2022	Eng Life Sci 22:4	ultrasound-irradiated two-phase extractive fermentation, isopropyl myristate	YPD, 2% glucose	150 mL YPD + 15 mL organic solvent in a 500 mL BAFFLED flask, 30 °C, 150 rpm, 96 h	96		264		no	total_carotenoid	no	264 mg/L total carotenoid	Yamada 2022 -- 'total carotenoid'. FULL TEXT READ 2026-09-09 (PMC8727735). total_carotenoid is now CONFIRMED from the paper's own method rather than from its caption: 'Final concentration was determined by colorimetry [8]. beta-Carotene dissolved in hexane was used as the standard' -- an absorbance sum read against a beta-carotene standard, the Lopez 2019 pattern exactly. GEOMETRY, where the cell read 'not stated': 'Ultrasonic-irradiated two-phase extractive fermentation was performed in 150 mL YPD medium with 15 mL of organic solvent in a 500 mL flask with baffles and a rotary shaker set to 30 degC and 150 rpm', 96 h. bioreactor=no is right and is the informative case: 150 mL in a 500 mL baffled flask is a well-aerated culture that is still not a vessel. Strain is YPH499/Mo3Crt79, the same cocktail delta-integration strain as Yamada 2018 (PMID 30138874), and reference [8] for the colorimetry IS Yamada 2018.						
38213763	Fan 2024	Biodes Res 6:0026	multidimensional optimisation	YPD, 2% (w/v) glucose; 20 uM CuSO4 inducer	20 mL YPD in a 100 mL shake flask, 72 h, inoculated at OD600 0.1, 20 uM CuSO4; TEMPERATURE AND RPM NOT STATED	72		166.79		no	beta_carotene	no	166.79 +/- 10.43 mg/L	AUDIT: titre had been 10.43 = the +/- SD. Real 166.79 +/- 10.43 mg/L. HPLC, authentic standards, lycopene <0.5 mg/L. Biomass Fig 5C only. FULL TEXT READ 2026-09-09 (PMC10777738). ASSAY CONFIRMED SPECIFIC: 'high-performance liquid chromatography (HPLC; model LC-20A, Shimadzu) equipped with a C18 column', 450 nm, 'All authentic lycopene and beta-carotene standards were dissolved in methanol for the subsequent plotting of the standard curve'. GEOMETRY: 'experiments were carried out using 100 ml of shake flasks ... inoculated into 20 ml of YPD or YNBD media', initial OD600 0.1, 72 h -- the paper states NO temperature and NO rpm for the production cultures, so those stay UNRESOLVED. 166.79 mg/L is YPD; the YNBD run is 54.3% lower. CONTENT PERMANENTLY BLOCKED: the string 'DCW' does not occur anywhere in the paper -- growth is OD600 on a microplate reader with no conversion factor -- so mg/gDCW is not derivable and dfba_ready stays no on the BIOMASS, not on the assay.						
38829459	Yamada 2024	World J Microbiol Biotechnol 40:230	HP100_74, point and structural mutagenesis	not stated	not stated			37.6		no	unverified	no	37.6 mg/L (parent 20.1 mg/L)	AUDIT: DO NOT PROMOTE. Same lab/lineage as Yamada 2018 whose assay evidence points away from beta-carotene-specific. SECOND-HAND ASSAY EVIDENCE 2026-09-09, same chain as PMID 30138874: Yamada 2022 (PMC8727735) is the same lab, uses the same YPH499/Mo3Crt79 lineage, quantifies by colorimetry against a beta-carotene-in-hexane standard, and cites Yamada 2018 as that method. It is still not THIS paper's own sentence, and this paper is paywalled, so measurand stays unverified. DO NOT PROMOTE stands.						
39215465	Arhar 2024	J Appl Microbiol 135:lxae224	BCY2073; integrated BTS1 + ER-localised CrtYB, episomal high-copy **C-terminally truncated cytosolic CrtI**, tHMG1	optimized medium: 20 g/L glucose + 5 g/L lactic acid + 2 g/L acetic acid (full text)	shake flask, 180 rpm, 30 °C for the standard cultivations; the optimized-medium runs 96 h at 20 °C. CULTURE VOLUME AND FLASK SIZE NOT STATED	96	79			no	beta_carotene	yes	79 mg/g DCW, a 76-fold improvement; authors call it the highest content for *S. cerevisiae* to date	Arhar 2024 -- HPLC on gravimetric dry weight with lycopene BELOW DETECTION. The specific assay that refuted the model ceiling by 63x. FULL TEXT READ 2026-09-09 (academic.oup.com/jambio, open access). The mode cell's '96 h, 20 C' is now VERIFIED rather than UNVERIFIED, and the standard cultivations are 'shake flasks at 180 rpm and 30 degC'. Assay re-confirmed specific: Waters e2695 HPLC with a 2489 UV-Vis detector and a C18 reverse phase column, 286 and 448 nm, beta-carotene and phytoene standards (CaroteNature); 'A lycopene standard (Sigma-Aldrich, Austria) was used to identify the corresponding peak at 448 nm, although biological samples never contained lycopene above the detection limit'. Culture volume and flask size are still NOT STATED, so the 79 mg/gDCW cannot be attached to an aeration. CARBON VOCABULARY GAP: this feed also carries 5 g/L lactic acid and 2 g/L acetic acid, neither of which CARBON_SPECIES can name, so this row's carbon_species reads {glucose} alone.	0	1	high-copy	BTS1:CDC19p, CrtYB:TPI1p, CrtI:PGK1p, tHMG1:TDH3p	mixed: BTS1+CrtYB genomic, truncated CrtI on high-copy plasmid	QUALITATIVE for the DECISIVE gene: truncated CrtI -- the modification credited with the 76-fold gain -- is episomal with no copy number. BTS1 replaces crtE.
40168627	Lin 2025	J Agric Food Chem 73:9187	platform strain via systematic engineering + ARTP mutagenesis	not stated in abstract	fed-batch, 5-L bioreactor			2090.0		yes	unverified	no	2.09 g/L, stated as the highest *S. cerevisiae* titre to date; no content reported							
40944773	Bubphasawan 2025	Bioresour Bioprocess 12:96	sucrose + agricultural by-products	sucrose, 20 g/L batch then fed to 120 g/L total	fed-batch, 5 L stirred-tank (Biostat B), 1.0 vvm, 500 rpm, 30 °C, 120 h; feeding from h10 in 20 cycles at 5 h intervals	120	2.15	23.30		yes	beta_carotene	yes	23.30 +/- 4.22 mg/L at 2.29 +/- 0.16 mg/g DCW; 17.02 +/- 0.40 mg/L at 2.90 +/- 0.21 mg/g DCW	AUDIT: titre had been 4.22 = the +/- SD. Content 2.15 at 120 h (2.29 is the 48 h peak). Sigma PHR1239 standard. FULL TEXT READ 2026-09-09 (PMC12433382). PROMOTER RESOLVED from the printed genotype: crtE on PGAL1, crtYB on PGAL10 (the divergent pair), crtI on PGAL7 -- the 'unrecorded' sentinel is retired. bioreactor=yes is CORRECT and was checked against the figure: 23.30 +/- 4.22 mg/L and 2.29 +/- 0.16 mg/gDCW are Fig 3, the 5-L fed-batch on sucrose with yeast extract + peptone, NOT the shake flask (which is 250 mL YP in a 1000 mL flask at 30 C / 220 rpm). The crt genes are from *Sporidiobolus pararoseus*, codon-optimised -- NOT *X. dendrorhous*. Assay: HPLC (Vanquish), Hypersil GOLD C18, diode array at 450 nm, Sigma PHR1239 standard, identity confirmed by retention time and UV-visible spectrum against the authentic standard.	1	1	1	PGAL1 (crtE), PGAL10 (crtYB), PGAL7 (crtI)	genomic, one cassette at locus 1021b	NUMBER: the printed genotype '1021b::TPRM9-SpCrtE(opt)-PGAL1-PGAL10-SpCrtYB(opt)-TGAL10-PGAL7-SpCrtI(opt)-TCPS1' puts all three genes in ONE cassette at 1021b, one copy each, countable from the construct. The same sentence resolves the promoters, which is why the 'unrecorded' sentinel is gone.
