doi,registry,title,journal,year,cited_in
10.1373/clinchem.2008.112797,crossref,The MIQE Guidelines: Minimum Information for Publication of Quantitative Real-Time PCR Experiments,Clinical Chemistry,2009,docs/research/G4_STATISTICS.md:104
10.15252/msb.20145172,crossref,Cell cycle population effects in perturbation studies,Molecular Systems Biology,2014,docs/research/HYBRID_METHODS.md:92
10.15252/msb.20167411,crossref,Improving the phenotype predictions of a yeast genome‐scale metabolic model by incorporating enzymatic constraints,Molecular Systems Biology,2017,docs/research/HYBRID_METHODS.md:373
10.15252/msb.20178124,crossref,Multi‐Omics Factor Analysis—a framework for unsupervised integration of multi‐omics data sets,Molecular Systems Biology,2018,docs/research/IDENTIFIABILITY.md:136
10.2144/00292bm11,crossref,Irreversible Heat Inactivation of DNase I without RNA Degradation,BioTechniques,2000,docs/research/UPR_ANCHOR.md:746
10.2307/2332810,crossref,Design of Experiments in Non-Linear Situations,Biometrika,1959,docs/WHY_INTERPOLATION_WORKS.md:51
10.2307/2981683,crossref,Present Position and Potential Developments: Some Personal Views: Statistical Theory: The Prequential Approach,Journal of the Royal Statistical Society. Series A (General),1984,docs/research/PREDICTION.md:1281
10.3389/fbioe.2019.00171,crossref,Build Your Bioprocess on a Solid Strain—β-Carotene Production in Recombinant Saccharomyces cerevisiae,Frontiers in Bioengineering and Biotechnology,2019,docs/research/CALIBRATION_DATA.md:366
10.3389/fbioe.2020.578793,crossref,Engineering Saccharomyces cerevisiae for the Overproduction of β-Ionone and Its Precursor β-Carotene,Frontiers in Bioengineering and Biotechnology,2020,docs/research/CALIBRATION_DATA.md:367
10.3389/fmicb.2017.01066,crossref,Melatonin Reduces Oxidative Stress Damage Induced by Hydrogen Peroxide in Saccharomyces cerevisiae,Frontiers in Microbiology,2017,docs/research/UPR_ANCHOR.md:770
10.3389/fmicb.2021.802169,crossref,Real-Time Monitoring of the Yeast Intracellular State During Bioprocesses With a Toolbox of Biosensors,Frontiers in Microbiology,2022,docs/EXTERNAL_PRODUCT_VALIDATION.md:47;tests/test_external_torello_pianale.py:37;tests/test_external_torello_pianale.py:5
10.3389/fmicb.2025.1629132,crossref,Impairment in global protein synthesis uncouples UPR gene induction from HAC1 mRNA splicing in Saccharomyces cerevisiae,Frontiers in Microbiology,2025,docs/research/UPR_ANCHOR.md:682
10.3389/frobt.2022.799893,crossref,Robot Learning From Randomized Simulations: A Review,Frontiers in Robotics and AI,2022,docs/research/CIRCULARITY.md:156
10.3390/ijms20122860,crossref,Translation Control of HAC1 by Regulation of Splicing in Saccharomyces cerevisiae,International Journal of Molecular Sciences,2019,docs/research/UPR_ANCHOR.md:624
10.3390/ijms23031669,crossref,Induction of the Unfolded Protein Response at High Temperature in Saccharomyces cerevisiae,International Journal of Molecular Sciences,2022,docs/research/UPR_ANCHOR.md:636
10.3390/ijms26167796,crossref,When Two-Fold Is Not Enough: Quantifying Uncertainty in Low-Copy qPCR,International Journal of Molecular Sciences,2025,docs/research/G4_STATISTICS.md:119
10.3390/jof10060433,crossref,"Metabolic Engineering of Saccharomyces cerevisiae for Production of Canthaxanthin, Zeaxanthin, and Astaxanthin",Journal of Fungi,2024,docs/research/CALIBRATION_DATA.md:365
10.3390/microorganisms9030620,crossref,Does Saccharomyces cerevisiae Require Specific Post-Translational Silencing against Leaky Translation of Hac1up?,Microorganisms,2021,docs/research/UPR_ANCHOR.md:628
10.34133/csbj.0078,crossref,A Hybrid Modeling Framework for Predictive Digital Twins of CHO Cell Culture,Computational and Structural Biotechnology Journal,2026,docs/research/HYBRID_METHODS.md:329
10.5281/zenodo.3977408,datacite,FlopR: An open source software package for calibration and normalization of plate reader and flow cytometry data,Zenodo,2020,docs/research/EXTERNAL_DATA.md:326;docs/research/EXTERNAL_DATA.md:47
10.5281/zenodo.7071949,datacite,PLATERO dataset,Zenodo,2022,docs/research/EXTERNAL_DATA.md:313
10.7488/ds/1405,datacite,"Inferring time derivatives, including cell growth rates, using Gaussian processes",University of Edinburgh. School of Biological Sciences,2016,docs/research/EXTERNAL_DATA.md:69
10.7488/ds/1447,datacite,General calibration of microbial growth in microplate readers: Data supporting Figure 4,University of Edinburgh. School of Biological Sciences. Centre for Synthetic and Systems Biology,2016,docs/research/EXTERNAL_DATA.md:320;docs/research/EXTERNAL_DATA.md:66
10.7488/ds/1980,datacite,General calibration of microbial growth in microplate readers: Data supporting Figures 1-3,University of Edinburgh. School of Biological Sciences. Centre for Synthetic and Systems Biology,2017,docs/research/EXTERNAL_DATA.md:319;docs/research/EXTERNAL_DATA.md:65
10.7488/ds/2043,datacite,Distributing tasks via multiple input pathways increases cellular survival in stress,University of Edinburgh. School of Biological Sciences,2017,docs/research/EXTERNAL_DATA.md:411
10.7488/ds/2214,datacite,Distributed and dynamic intracellular organization of extracellular information in yeast,University of Edinburgh. School of Biological Sciences,2018,docs/research/EXTERNAL_DATA.md:402;docs/research/EXTERNAL_DATA.md:43
10.7488/ds/3263,datacite,Analysing and meta-analysing time-series data of microbial growth and gene expression from plate readers,University of Edinburgh. School of Biological Sciences,2021,docs/research/EXTERNAL_DATA.md:16;docs/research/EXTERNAL_DATA.md:233;docs/research/EXTERNAL_DATA.md:75
10.7554/elife.18638,crossref,Dynamic control of Hsf1 during heat shock by a chaperone switch and phosphorylation,eLife,2016,tests/test_native_reference_models.py:277
10.7554/elife.18638.021,crossref,Table 1,,,src/ystwin/mech/state.py:427;tests/test_engine_adapters.py:133
10.7554/elife.18638.025,crossref,Source code 1. This is a .zip file containing 7 .m files to run the heat shock simulations in MATLAB,,,tests/test_native_reference_models.py:278
10.7554/elife.20069,crossref,The fail-safe mechanism of post-transcriptional silencing of unspliced HAC1 mRNA,eLife,2016,docs/research/UPR_ANCHOR.md:616
10.7554/elife.21415,crossref,Distributing tasks via multiple input pathways increases cellular survival in stress,eLife,2017,docs/research/EXTERNAL_DATA.md:411
10.7554/elife.23971.026,crossref,Supplementary file 1. List of all strains used in this study,,,tests/test_native_reference_models.py:305
10.7554/elife.31668.014,crossref,Source code 1. Simulation of Hsf1 activity with feedback in tact,,,src/ystwin/mech/heat_zheng2016.py:162
10.7554/elife.82017,crossref,Modeling single-cell phenotypes links yeast stress acclimation to transcriptional repression and pre-stress cellular states,eLife,2022,docs/research/EXTERNAL_DATA.md:416
