# Stress genes absent from yeast-GEM v9.0.2's 1161-gene list, and what was done about each.
#
# Absence was established by ORF against the fbc:geneProduct labels in data/gem/yeast-GEM.xml.gz
# (ystwin.fba.stress_genes.gene_label_map), never by symbol: symbols collide. "CTR1" as a bare
# string resolves in SGD to YGL077C (HNM1, choline transporter), which IS in the model; the copper
# transporter CTR1 is YPR124W, which is not. "CRH2" and "UTR2" are one gene, YEL040W. "VMA12" and
# "VPH2" are one gene, YKL119C. "UAP1" is YDL103C, present under its canonical symbol QRI1.
#
# Every function claim carries a GO molecular-function term and the SGD evidence line behind it,
# taken from the vendored data/external/sgd/gene_association.sgd.gaf.gz (generated 20260825).
# Nothing here is asserted without one, and that is enforced rather than promised: every triple
# below is looked up in that GAF by stress_genes.unsupported_claims(), which must come back empty
# and which must match on aspect F. It found one invented citation on its first run -- SMF2's
# manganese term is IBA in SGD, not the IDA this file claimed -- and that row now says IBA.
#
# Every stoichiometric coefficient below is 1: these are single mannosyl transfers, so there is
# no rate, kcat or yield anywhere in this file to invent.
# The one modelling choice that is ASSERTED rather than cited is MANPOL_G's compartments -- see
# its `basis` -- and it copies the shape yeast-GEM already uses at r_0005 and r_0006.
#
# verdict:
#   GPR_EXTEND      the reaction exists; only the gene-protein rule was missing or misassigned.
#   NEW_REACTION    the chemistry is genuinely absent; the reaction is added by this module.
#   REFUSED         adding it would be wrong. The reason is in `basis`. This list is the point.
#   ALREADY_PRESENT the brief listed it as absent and it is not. Recorded so nobody re-adds it.
#
# For GPR_EXTEND, `old_rule` is asserted against the loaded model before `new_rule` replaces it:
# a yeast-GEM whose rule has moved on refuses the edit instead of silently overwriting it.
# For NEW_REACTION, every row on one target must agree on reaction_name/stoichiometry/bounds/new_rule.
#
orf	symbol	verdict	target	reaction_name	stoichiometry	bounds	old_rule	new_rule	go_term	evidence	basis
YBR015C	MNN2	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000026	IMP:PMID:9756928	Alpha-1,2-mannosyltransferase, branch initiation on the outer chain.
YJL186W	MNN5	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000026	IMP:PMID:9756928	Alpha-1,2-mannosyltransferase, branch extension on the outer chain.
YGL257C	MNT2	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000033	IMP:PMID:10521541	Alpha-1,3-mannosyltransferase, terminal residues of the outer chain.
YIL014W	MNT3	NEW_REACTION	MANPOL_G	GDP-mannose:mannan alpha-mannosyltransferase (mannan polymerase)	s_0744:-1|s_1107:1|s_0740:1|s_0797:1	0,1000	-	(YPL050C and YML115C) or (YPL050C and YEL036C and YDR245W and YJL183W) or YER001W or YBR015C or YJL186W or YGL257C or YIL014W	GO:0000033	IMP:PMID:10521541	Alpha-1,3-mannosyltransferase, terminal residues of the outer chain.
YBL082C	ALG3	NEW_REACTION	ALG3_ER	Dol-P-Man:Man5GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase	s_0644:-1|s_3989:-1|s_0646:1|s_3993:1	0,1000	-	YBL082C	GO:0052925	IDA:PMID:11308030	The exact missing bridge between yeast-GEM's two disconnected halves of the dolichol N-glycan chain. s_3989 (Man5) ran only to s_3990 (G00006), which has exactly one reaction and so is a dead end; s_3993 (Man6) appears in exactly one reaction, r_4313, and only as a substrate, so nothing produces it in the biosynthetic direction. One mannosyl unit, C6H10O5, transferred from Dol-P-Man. NOTE: the whole branch is blocked downstream -- it terminates at s_3887 with no oligosaccharyltransferase -- so this reaction is exact but carries zero flux until that separate gap is closed.
YER044C	ERG28	REFUSED	-	-	-	-	-	-	GO:0030674	IPI:PMID:12119386	Protein-macromolecule adaptor activity and nothing else: a scaffold tethering Erg25/Erg26/Erg27. It catalyses no reaction, so it belongs in no GPR.
YPL170W	DAP1	REFUSED	-	-	-	-	-	-	GO:0020037	IDA:PMID:15713626	Heme binding is its only annotated molecular function. A regulatory heme-binding protein supporting Erg11, not an enzyme.
YMR038C	CCS1	REFUSED	-	-	-	-	-	-	GO:0016532	IMP:PMID:9295278	Superoxide dismutase copper chaperone activity: it delivers a metal to Sod1p and turns over no metabolite.
YKL119C	VPH2	REFUSED	-	-	-	-	-	-	GO:0003674	ND:GO_REF:0000015	V-ATPase assembly factor. SGD assigns it the root molecular_function term with evidence code ND -- no function known. Also the same gene as VMA12; the brief's two names are one ORF.
YGR105W	VMA21	REFUSED	-	-	-	-	-	-	GO:0003674	ND:GO_REF:0000015	V-ATPase assembly factor; root molecular_function, evidence ND. Not an enzyme, and r_1086 already carries the sixteen genuine V-ATPase subunits.
YHR060W	VMA22	REFUSED	-	-	-	-	-	-	GO:0005515	IPI:PMID:7673216	Protein binding only. V-ATPase assembly factor, not a subunit and not a catalyst.
YKL201C	MNN4	REFUSED	-	MANPOL_G	-	-	-	-	GO:0008047	IMP:PMID:9459307	Enzyme activator activity: a positive regulator of the mannosylphosphate transferase Ktr6/Mnn6, which the model already has on r_0192. A regulator is not a catalyst.
YNL111C	CYB5	REFUSED	-	-	-	-	-	-	GO:0009055	IDA:PMID:10622712	Electron transfer activity, no catalytic annotation. Yeast-GEM writes the sterol desaturations (r_0242, r_0233) with NADPH as the direct donor, so no reaction carries its chemistry; making it an obligate AND partner would predict cyb5 deletion blocks ergosterol, which is false.
YEL011W	GLC3	REFUSED	-	-	-	-	-	-	GO:0003844	IMP:PMID:1729600	1,4-alpha-glucan branching enzyme. Glycogen is one lumped repeat unit in this model (s_0773, C6H10O5); branching rearranges bonds without changing that unit, so the reaction would be substrate equals product.
YMR307W	GAS1	REFUSED	-	-	-	-	-	-	GO:0042124	IDA:PMID:10809732	1,3-beta-glucanosyltransferase. Both substrate and product are the model's single lumped (1->3)-beta-D-glucan repeat unit (s_0001/s_0002, C6H10O5), so the reaction is the identity. Unrepresentable, not missing.
YLR343W	GAS2	REFUSED	-	-	-	-	-	-	GO:0042124	IDA:PMID:17397106	Same chemistry and same lumped-polymer obstruction as GAS1.
YMR215W	GAS3	REFUSED	-	-	-	-	-	-	GO:0042124	ISS:PMID:10769178	Same chemistry and same lumped-polymer obstruction as GAS1; the annotation is sequence-similarity only.
YOL132W	GAS4	REFUSED	-	-	-	-	-	-	GO:0042124	IDA:PMID:17397106	Same chemistry and same lumped-polymer obstruction as GAS1.
YOL030W	GAS5	REFUSED	-	-	-	-	-	-	GO:0042124	IDA:PMID:17397106	Same chemistry and same lumped-polymer obstruction as GAS1.
YGR189C	CRH1	REFUSED	-	-	-	-	-	-	GO:0016757	IDA:PMID:23919454	Chitin-glucan transglycosylase. Chitin (s_0509) and beta-glucan (s_0001/s_0004) are lumped repeat units, so cross-linking one to the other moves no atoms in this representation.
YEL040W	UTR2	REFUSED	-	-	-	-	-	-	GO:0016757	IDA:PMID:23919454	Same as CRH1. This ORF is also the brief's CRH2; the two names are one gene.
YJL093C	TOK1	REFUSED	-	r_1249	-	-	-	-	GO:0005267	IDA:PMID:7651518	Outward-rectifying potassium channel. REFUSED BY MEASUREMENT, and the earlier argued reason was wrong. The K+ efflux reaction it needs (s_1373 --> s_1374, bounds 0,1000) was added and measured: growth 0.085844 /h under the shipped default bounds, 77.556090 /h with every exchange open, max ATP per glucose 19.192 mmol/mmol, and a closed medium still drains no ATP -- every number identical to the model without it. The proton cycle it looks like it would open is already open: r_2020 (K+ exchange) and r_1832 (H+ exchange) are both (-1000, 1000), so r_1249 can already carry protons inward against nothing, with or without this channel. It is refused because it moves no number, not because it would be a free lunch.
YJL094C	KHA1	REFUSED	-	-	-	-	-	-	GO:0015386	IMP:PMID:9811642	Potassium:proton antiporter of the Golgi. The model has potassium in c, e and v only -- there is no potassium species in [g] to move.
YNL321W	VNX1	REFUSED	-	-	-	-	-	-	GO:0015369	IMP:PMID:20578725	Calcium:proton antiporter of the ER. The model has Ca(2+) in c, v, g and e only -- there is no Ca(2+) in [er].
YDL128W	VCX1	REFUSED	-	-	-	-	-	-	GO:0015369	IDA:PMID:8628289	Vacuolar calcium:proton antiporter, and it moves calcium the same way r_4237 (PMC1) does, into the vacuole. Ca(2+)[v] (s_3882) has no efflux at all, so r_4237 already measures [0, 0] under FVA and any further importer would too. The gap is a missing vacuolar calcium exit, not a missing entry.
YDL103C	QRI1	ALREADY_PRESENT	r_1069	-	-	-	-	-	-	-	The brief listed this ORF as absent under the alias UAP1. It is in yeast-GEM under its canonical symbol QRI1, carrying r_1069, UDP-N-acetylglucosamine diphosphorylase. Nothing to add.
YPL053C	KTR6	ALREADY_PRESENT	r_0192	-	-	-	-	-	-	-	The brief's MNN6 is this ORF. It is in yeast-GEM as KTR6 on r_0192, alpha-1,2-mannosyltransferase. Nothing to add.
