reaction_id,declared_gpr_genes,gpr_genes,branch,protein_species_id,protein_coefficient_h,kcat_per_s,is_reverse_arm,included_in_forward_span,association_basis,interpretation,source_model_sha256,source_sbml_sha256,boundary_basis
r_1012No1,ERG9,ERG9,sterol,prot_P29704__91__c__93__,0.00016835,1.6500016500016499,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0373No1,BTS1,BTS1,prenyl_transferase,prot_Q12051__91__c__93__,8.4175e-05,3.3000033000032998,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0317No1,ERG11,ERG11;NCP1,sterol,prot_P10614__91__c__93__,8.1699e-05,3.4000144160611243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0317No1,ERG11,ERG11;NCP1,sterol,prot_P16603__91__c__93__,8.1699e-05,3.4000144160611243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0904No1,ERG8,ERG8,MVA,prot_P24521__91__c__93__,8.1699e-05,3.4000144160611243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0698No1,ERG7,ERG7,sterol,prot_P38604__91__c__93__,6.8144e-05,4.076335081265816,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0739No1,MVD1,MVD1,MVA,prot_P32377__91__c__93__,5.6689e-05,4.900029596178761,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0735No1,ERG12,ERG12,MVA,prot_P07277__91__c__93__,1.2684e-05,21.89985633694243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0736No1,ERG12,ERG12,MVA,prot_P07277__91__c__93__,1.2684e-05,21.89985633694243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0737No1,ERG12,ERG12,MVA,prot_P07277__91__c__93__,1.2684e-05,21.89985633694243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0738No1,ERG12,ERG12,MVA,prot_P07277__91__c__93__,1.2684e-05,21.89985633694243,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0558No2,HMG1,HMG1,MVA,prot_P12683__91__c__93__,6.00603e-06,46.24981523198815,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0558No1,HMG2,HMG2,MVA,prot_P12684__91__c__93__,6.00259e-06,46.27632035134464,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0103No1,ERG10,ERG10,MVA,prot_P41338__91__c__93__,3.0864e-07,900.0057600368643,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0104No1,ERG10,ERG10,MVA,prot_P41338__91__c__93__,3.0864e-07,900.0057600368643,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0238No1,ERG25,ERG25,sterol,prot_P53045__91__c__93__,3.0068e-07,923.831906936869,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0239No1,ERG25,ERG25,sterol,prot_P53045__91__c__93__,3.0068e-07,923.831906936869,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0240No1,ERG25,ERG25,sterol,prot_P53045__91__c__93__,3.0068e-07,923.831906936869,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0241No1,ERG25,ERG25,sterol,prot_P53045__91__c__93__,3.0068e-07,923.831906936869,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0234No1,ERG26,ERG26,sterol,prot_P53199__91__c__93__,2.3304e-08,11919.746729221497,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0235No1,ERG26,ERG26,sterol,prot_P53199__91__c__93__,2.3304e-08,11919.746729221497,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0243No1,ERG2,ERG2,sterol,prot_P32352__91__c__93__,1.6633e-08,16700.40147765152,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0667No1,IDI1,IDI1,MVA,prot_P15496__91__c__93__,9.2902e-09,29900.085873046624,False,True,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0103_REVNo1,ERG10,ERG10,MVA,prot_P41338__91__c__93__,5.5556e-11,4999960.000319998,True,False,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
r_0104_REVNo1,ERG10,ERG10,MVA,prot_P41338__91__c__93__,5.5556e-11,4999960.000319998,True,False,reaction_GPR_membership_not_gene_to_protein_assignment,model_encoded_prior_not_measurement,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
