enzyme,kcat_per_s,mass_fraction_of_protein,enzyme_molar_mass_g_per_mol,total_protein_g_per_gdcw,growth_rate_per_h,enzyme_mmol_per_gdcw,vmax_mmol_per_gdcw_h,capacity_mmol_per_gdcw,reference_content_source,reference_content_mg_per_gdcw,reference_product_molar_mass_g_per_mol,reference_content_mmol_per_gdcw,fold_over_reference_content,reference_capacity_source,reference_capacity_mmol_per_gdcw,fold_over_reference_capacity,reference_basis,interpretation,kcat_basis,source_model_sha256,source_sbml_sha256,boundary_basis
crtYB,0.06475006475006474,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.0007793400134440597,0.007716237756871878,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.06475006475006474,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.0015586800268881193,0.015432475513743755,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.06475006475006474,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.0077934001344405965,0.07716237756871877,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.06475006475006474,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.015586800268881193,0.15432475513743754,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.06475006475006474,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.07793400134440598,0.7716237756871879,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.07599939200486397,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.00091473834683311,0.009056815315179306,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.07599939200486397,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.00182947669366622,0.01811363063035861,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.07599939200486397,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.009147383468331098,0.09056815315179305,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.07599939200486397,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.018294766936662196,0.1811363063035861,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.07599939200486397,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.091473834683311,0.9056815315179306,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.41500250661513993,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.004995022944505059,0.04945567271787187,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.41500250661513993,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.009990045889010118,0.09891134543574374,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.41500250661513993,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.049950229445050585,0.4945567271787186,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.41500250661513993,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.09990045889010117,0.9891134543574372,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.41500250661513993,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.4995022944505059,4.945567271787187,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.6906630641681238,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.008312908470312578,0.08230602445854036,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.6906630641681238,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.016625816940625156,0.16461204891708073,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.6906630641681238,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.08312908470312577,0.8230602445854036,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.6906630641681238,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.16625816940625154,1.6461204891708072,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.6906630641681238,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.8312908470312578,8.230602445854037,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.7299952112314143,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.00878631519414227,0.08699321974398286,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.7299952112314143,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.01757263038828454,0.17398643948796572,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.7299952112314143,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.08786315194142269,0.8699321974398285,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.7299952112314143,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.17572630388284538,1.739864394879657,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,0.7299952112314143,0.05,74736.0,0.49974,0.101,0.00033433686576750165,0.878631519414227,8.699321974398286,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.0999793203887767,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.013239490981962605,0.1310840691283426,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.0999793203887767,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.02647898196392521,0.2621681382566852,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.0999793203887767,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.13239490981962604,1.310840691283426,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.0999793203887767,0.01,74736.0,0.49974,0.101,6.686737315350032e-05,0.2647898196392521,2.621681382566852,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.0999793203887767,0.05,74736.0,0.49974,0.101,0.00033433686576750165,1.3239490981962605,13.108406912834262,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.6500016500016499,0.0005,74736.0,0.49974,0.101,3.3433686576750164e-06,0.019859629686219283,0.19662999689326022,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.6500016500016499,0.001,74736.0,0.49974,0.101,6.686737315350033e-06,0.039719259372438566,0.39325999378652043,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
crtYB,1.6500016500016499,0.005,74736.0,0.49974,0.101,3.343368657675016e-05,0.19859629686219282,1.9662999689326022,,,,,,,,,user_declared_comparison_only_not_calibration,conditional_sensitivity_not_product_prediction,forward_model_encoded_turnovers_as_sensitivity_priors,63d0f76e88586fcee25e9e67f9dae558e7b308172c837d44a0d055510b287ef3,3a9d97a68e2408ea243114794c027b11d70f253ecf6a758f4bcd5f2de50170b8,"GECKO2: prot_* reactant coefficients interpreted as hours (1/kcat_h); enzyme mmol/gDCW; reaction flux mmol/gDCW/h; declared convention, not inferred from unannotated protein species or flux bounds; no medium or flux bounds applied"
